Millesime,Catégorie juridique,Catégorie,Etablissement2,Ressource,Négociée,Valeur,Code département,Académie,Code Région,Région
2018,Fondation,Fondation reconnue d'utilité publique,Cité internationale universitaire de Paris,Lexis 360 (ex-Jurisclasseurs),OUI,7478.0,D075,Paris,R11,Île-de-France
2017,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement relevant d'un autre département ministériel,École nationale supérieure des mines de Paris (MINES ParisTech PSL),Lexis 360 (ex-Jurisclasseurs),OUI,5534.0,D075,Paris,R11,Île-de-France
2017,"Association déclarée, reconnue d'utilité publique",Établissement privé d'enseignement universitaire,Institut catholique de Paris (ICP),Lexis 360 (ex-Jurisclasseurs),OUI,7502.0,D075,Paris,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université de Cergy-Pontoise (UCP),Lexis 360 (ex-Jurisclasseurs),OUI,20682.53,D095,Versailles,R11,Île-de-France
2015,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université de Versailles Saint-Quentin-en-Yvelines (UVSQ),Lexis 360 (ex-Jurisclasseurs),OUI,14442.0,D078,Versailles,R11,Île-de-France
2015,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université d'Évry-Val-d'Essonne (UEVE),Lexis 360 (ex-Jurisclasseurs),OUI,10367.0,D091,Versailles,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris 1 - Panthéon Sorbonne (Paris 1),Lexis 360 (ex-Jurisclasseurs),OUI,24429.0,D075,Paris,R11,Île-de-France
2015,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris-Est Créteil (UPEC),Lexis 360 (ex-Jurisclasseurs),OUI,16544.0,D094,Créteil,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris-Est Créteil (UPEC),Lexis 360 (ex-Jurisclasseurs),OUI,19716.0,D094,Créteil,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris 8 - Vincennes - Saint-Denis,Lexis 360 (ex-Jurisclasseurs),OUI,14256.0,D093,Créteil,R11,Île-de-France
2015,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement,CentraleSupélec,LexisNexis Academic,NON,1317.0,D091,Versailles,R11,Île-de-France
2017,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire Cujas,Lextenso,OUI,6701.0,D075,Paris,R11,Île-de-France
2016,Établissement public national à caractère administratif,Bibliothèque,Bibliothèque nationale de France (BNF),Lextenso,OUI,1644.0,D075,Paris,R11,Île-de-France
2018,Établissement public national à caractère administratif,Bibliothèque,Bibliothèque nationale de France (BNF),Lextenso,OUI,4775.0,D075,Paris,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement,Conservatoire national des arts et métiers (CNAM),Lextenso,OUI,2236.0,D075,Paris,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement,Sciences Po (IEP de Paris),The New York Times Company - Revues,NON,4130.0,D075,Paris,R11,Île-de-France
2015,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire de la Sorbonne (BIS),Thesaurus Linguae Graecae (TLG) Online,NON,2297.0,D075,Paris,R11,Île-de-France
2017,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire de la Sorbonne (BIS),Thesaurus Linguae Graecae (TLG) Online,NON,2420.0,D075,Paris,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Université,Sorbonne Université (Sorbonne U),Thesaurus Linguae Graecae (TLG) Online,NON,2064.0,D075,Paris,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris-Sorbonne,Thesaurus Linguae Graecae (TLG) Online,NON,2400.0,D075,Paris,R11,Île-de-France
2018,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire de Santé (BIUS),Thieme - Chimie,OUI,5553.0,D075,Paris,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Université,Sorbonne Université (Sorbonne U),Thieme - Chimie,OUI,5553.0,D075,Paris,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement relevant d'un autre département ministériel,"Institut national du sport, de l'expertise et de la performance (INSEP)",Thieme - Médecine,OUI,1514.1,D075,Paris,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris Descartes,Thieme - Médecine,OUI,754.0,D075,Paris,R11,Île-de-France
