Mois;Essonne 91;Eure-et-Loir 28;Hauts-de-Seine 92;Paris 75;Seine-et-Marne 77;Seine-Saint-Denis 93;Val-d'Oise 95;Val-de-Marne 94;Yvelines 78;Total
Juin 2005; 60 820;  0; 96 310; 190 090; 69 470; 124 700; 76 580; 82 000; 72 050; 772 020
Juillet 2005; 60 270;  0; 95 210; 185 730; 69 130; 121 970; 75 440; 80 670; 71 220; 759 630
Août 2005; 61 250;  0; 96 240; 186 760; 70 100; 122 810; 76 440; 81 780; 72 910; 768 290
Septembre 2005; 62 440;  0; 97 650; 188 350; 71 290; 124 980; 77 950; 83 550; 74 000; 780 210
Octobre 2005; 62 200;  0; 97 460; 188 360; 71 290; 124 190; 77 700; 82 850; 73 750; 777 780
Novembre 2005; 61 580;  0; 97 180; 186 990; 70 740; 124 450; 77 820; 82 500; 73 450; 774 710
Décembre 2005; 60 680;  0; 95 660; 184 860; 69 940; 122 900; 76 660; 81 300; 72 280; 764 270
Janvier 2006; 60 720;  0; 95 310; 184 400; 70 090; 122 770; 77 140; 81 200; 72 270; 763 910
Février 2006; 60 200;  0; 94 130; 183 080; 69 510; 121 930; 76 300; 80 220; 71 260; 756 610
Mars 2006; 58 860;  0; 92 060; 180 290; 68 160; 118 950; 74 930; 78 270; 69 760; 741 280
Avril 2006; 57 500;  0; 90 030; 177 500; 66 820; 116 080; 72 900; 76 690; 68 010; 725 530
Mai 2006; 55 880;  0; 88 970; 175 270; 65 430; 114 170; 71 710; 75 350; 66 660; 713 440
Juin 2006; 54 340;  0; 87 360; 172 630; 63 800; 112 080; 70 740; 74 300; 65 430; 700 680
Juillet 2006; 53 540;  0; 85 600; 169 180; 63 300; 109 610; 69 650; 73 010; 64 840; 688 730
Août 2006; 53 930;  0; 86 760; 170 100; 63 690; 109 860; 70 100; 74 000; 66 020; 694 450
Septembre 2006; 54 190;  0; 86 990; 170 470; 64 120; 112 020; 70 580; 75 220; 65 990; 699 580
Octobre 2006; 54 530;  0; 88 150; 171 310; 64 410; 113 020; 71 790; 75 310; 67 160; 705 680
Novembre 2006; 54 440;  0; 87 660; 170 200; 64 060; 113 050; 71 630; 75 310; 66 570; 702 910
